                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4041,                 3.1669,                 1.4251,                0.00333,                      1,                0.50771,                0.34492,                  1.024,                 3.5654,                 1.0022,               0.070857,              0.0032381,              0.0032381
                      1,                 1.3001,                 1.5241,                 1.1842,                 0.9898,                0.68334,                0.90475,                 0.5927,                 1.0559,                 2.7484,                 1.0243,               0.040727,              0.0064413,              0.0064413
                      2,                 1.3086,                 1.3127,                 1.1865,                0.98804,                 0.5817,                0.92678,                  0.543,                 1.2842,                 2.1813,                 1.1348,               0.010465,              0.0095125,              0.0095125
                      3,                 1.2947,                 1.2605,                 1.1833,                0.93373,                0.92254,                0.97625,                0.59017,                 1.2589,                 1.2288,                 1.3011,               0.009406,               0.009406,               0.009406
                      4,                  1.286,                 1.1833,                 1.1895,                0.88292,                 0.9559,                 0.9554,                0.56389,                 1.3091,                 1.3276,                 1.3585,               0.009406,               0.009406,               0.009406
                      5,                 1.2184,                 1.1013,                 1.1714,                0.93686,                0.96479,                0.97844,                0.66653,                 1.0562,                0.92789,                 1.0661,               0.009208,               0.009208,               0.009208
                      6,                 1.2166,                 1.0049,                 1.1606,                0.94071,                0.93662,                0.97612,                0.58471,                 1.1846,                 1.1509,                 1.2468,                0.00901,                0.00901,                0.00901
                      7,                 1.2192,                 1.0127,                 1.1757,                0.96435,                 0.9525,                0.96977,                 0.6224,                 1.1702,                 1.0046,                 1.1741,               0.008812,               0.008812,               0.008812
                      8,                 1.1707,                0.91633,                 1.1591,                 0.9772,                0.98592,                0.98758,                0.62537,                 1.1776,                0.80308,                 1.2228,               0.008614,               0.008614,               0.008614
                      9,                 1.1718,                0.89802,                  1.156,                0.97831,                0.95775,                0.98064,                0.65347,                 1.0897,                0.90901,                 1.0903,               0.008416,               0.008416,               0.008416
                     10,                 1.1455,                0.85351,                 1.1299,                0.98483,                0.95775,                0.99027,                0.64572,                 1.1596,                0.80008,                 1.1343,               0.008218,               0.008218,               0.008218
                     11,                 1.1252,                0.83466,                 1.1257,                0.98682,                0.97887,                0.99211,                0.67746,                 1.0906,                0.74638,                 1.1397,                0.00802,                0.00802,                0.00802
                     12,                 1.1375,                0.79608,                 1.1342,                 0.9858,                0.97801,                0.98699,                0.63922,                 1.2298,                0.82649,                 1.1904,               0.007822,               0.007822,               0.007822
                     13,                 1.0989,                0.75776,                 1.1068,                0.97781,                0.98592,                0.99336,                0.66402,                 1.1086,                0.70281,                 1.1357,               0.007624,               0.007624,               0.007624
                     14,                  1.089,                0.75915,                 1.1004,                0.97233,                0.98981,                0.99402,                0.71271,                 0.9788,                0.61999,                 1.0633,               0.007426,               0.007426,               0.007426
                     15,                 1.1032,                0.76118,                 1.1033,                0.98995,                0.98592,                0.99419,                0.63652,                 1.2158,                0.70257,                 1.2224,               0.007228,               0.007228,               0.007228
                     16,                 1.0819,                0.75238,                 1.1085,                      1,                0.98526,                0.99486,                0.67029,                 1.1205,                 0.6098,                 1.1408,                0.00703,                0.00703,                0.00703
                     17,                 1.0443,                0.71124,                 1.0946,                0.99672,                0.97183,                0.99438,                0.70191,                 1.0125,                0.62434,                  1.073,               0.006832,               0.006832,               0.006832
                     18,                 1.0371,                0.67012,                 1.0725,                0.99837,                0.97887,                0.99458,                 0.7041,                 0.9859,                0.59849,                 1.0839,               0.006634,               0.006634,               0.006634
                     19,                 1.0283,                0.67824,                 1.0797,                      1,                0.97017,                0.99425,                0.72287,                0.97858,                0.57162,                 1.0515,               0.006436,               0.006436,               0.006436
